0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
59.166.0.0,149.171.126.9,0.036133,528,304,31,29,0,0,87676.08594,50480.17188,4,4,0,0,0,0,132,76,0,0,9.891010000000001,10.682733,1421927414,1421927414,7.005,7.564333,0.0,0.0,0.0,0,0,0,0,0,2,4,2,3,1,1,2,1
59.166.0.6,149.171.126.7,0.001119,146,178,31,29,0,0,521894.5313,636282.375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927414,1421927414,0.017,0.013000000000000001,0.0,0.0,0.0,0,0,0,0,0,12,8,1,2,2,1,1,1
59.166.0.5,149.171.126.5,0.001209,132,164,31,29,0,0,436724.5625,542597.1875,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927414,1421927414,0.043,0.013999999999999999,0.0,0.0,0.0,0,0,0,0,0,6,9,1,1,1,1,1,1
59.166.0.3,149.171.126.0,0.001169,146,178,31,29,0,0,499572.25,609067.5625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927414,1421927414,0.005,0.003,0.0,0.0,0.0,0,0,0,0,0,7,9,1,1,1,1,1,1
59.166.0.0,149.171.126.9,0.07833899999999999,568,312,31,29,0,0,43503.23438,23896.14258,4,4,0,0,0,0,142,78,0,0,29.682221000000002,34.37034,1421927414,1421927414,21.003,24.315,0.0,0.0,0.0,0,0,0,0,0,2,4,2,3,1,1,2,1
59.166.0.6,149.171.126.4,0.001134,132,164,31,29,0,0,465608.4688,578483.25,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927414,1421927414,0.017,0.013000000000000001,0.0,0.0,0.0,0,0,0,0,0,12,7,1,2,2,1,1,1
10.40.182.3,10.40.182.3,0.0,46,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,46,0,0,0,0.0,0.0,1421927415,1421927415,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,2,2,2,2,2,2,2,1
59.166.0.5,149.171.126.6,0.001126,146,178,31,29,0,0,518650.0938,632326.8125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927415,1421927415,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0,0,0,0,0,6,7,3,1,1,1,1,1
59.166.0.7,149.171.126.4,0.001167,132,164,31,29,0,0,452442.1563,562125.0625,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927415,1421927415,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0,0,0,0,0,6,7,2,1,1,1,1,1
10.40.170.2,10.40.170.2,0.0,46,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,46,0,0,0,0.0,0.0,1421927415,1421927415,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,2,2,2,2,2,2,2,1
10.40.170.2,10.40.170.2,0.0,46,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,46,0,0,0,0.0,0.0,1421927415,1421927415,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,2,2,2,2,2,2,2,1
10.40.182.3,10.40.182.3,0.0,46,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,46,0,0,0,0.0,0.0,1421927415,1421927415,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,2,2,2,2,2,2,2,1
59.166.0.1,149.171.126.5,0.001093,132,164,31,29,0,0,483074.0938,600182.9375,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927415,1421927415,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0,0,0,0,0,6,9,2,5,1,1,1,1
59.166.0.1,149.171.126.9,0.0018510000000000002,528,304,31,29,0,0,1711507.25,985413.3125,4,4,0,0,0,0,132,76,0,0,0.656903,0.328339,1421927415,1421927415,0.47100000000000003,0.23766700000000002,0.0,0.0,0.0,0,0,0,0,0,8,4,2,5,1,1,2,1
59.166.0.1,149.171.126.6,0.001749,528,304,31,29,0,0,1811320.75,1042881.625,4,4,0,0,0,0,132,76,0,0,0.640403,0.280968,1421927415,1421927415,0.458333,0.20366700000000001,0.0,0.0,0.0,0,0,0,0,0,8,2,3,5,1,1,2,1
59.166.0.2,149.171.126.4,0.0011279999999999999,132,164,31,29,0,0,468085.125,581560.3125,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927415,1421927415,0.017,0.015,0.0,0.0,0.0,0,0,0,0,0,7,7,2,1,1,1,1,1
59.166.0.1,149.171.126.9,0.0051530000000000005,568,312,31,29,0,0,661362.3125,363283.5313,4,4,0,0,0,0,142,78,0,0,1.890104,1.610554,1421927415,1421927415,1.348,1.149333,0.0,0.0,0.0,0,0,0,0,0,8,4,2,5,2,1,2,1
59.166.0.1,149.171.126.6,0.004898,568,312,31,29,0,0,695794.1875,382196.8125,4,4,0,0,0,0,142,78,0,0,1.7807389999999998,1.549507,1421927415,1421927415,1.269667,1.103667,0.0,0.0,0.0,0,0,0,0,0,8,2,3,5,2,1,2,1
59.166.0.4,149.171.126.5,0.001111,132,164,31,29,0,0,475247.5313,590459.0625,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927415,1421927415,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0,0,0,0,0,5,9,2,1,1,1,1,1
175.45.176.3,149.171.126.18,2.1e-05,728,0,254,0,0,0,138666672.0,0.0,2,0,0,0,0,0,364,0,0,0,0.0,0.0,1421927415,1421927415,0.021,0.0,0.0,0.0,0.0,0,2,0,0,0,1,1,1,1,1,1,1,2
175.45.176.2,149.171.126.16,0.240139,918,25552,62,252,2,10,28050.42188,815794.1875,12,24,255,255,1708297952,1939490744,77,1065,1,12026,1170.481668,1144.38336,1421927416,1421927416,21.830818,9.570304,0.051475,0.006528,0.044947,0,1,1,0,0,3,2,2,1,1,1,1,2
175.45.176.0,149.171.126.16,2.39039,1362,268,254,252,6,1,4233.619140999999,749.668518,14,6,255,255,3897219059,2466816006,97,45,1,0,18786.7114,941.7249380000001,1421927414,1421927416,183.579303,474.25940599999996,0.066088,0.017959,0.048129000000000005,0,1,1,0,0,5,2,2,1,1,1,1,2
59.166.0.3,149.171.126.9,0.001101,132,164,31,29,0,0,479564.0313,595822.0,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927416,1421927416,0.017,0.012,0.0,0.0,0.0,0,0,0,0,0,7,4,3,1,1,1,1,1
59.166.0.2,149.171.126.8,0.001082,132,164,31,29,0,0,487985.2188,606284.6875,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927416,1421927416,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0,7,6,1,1,1,1,1,1
59.166.0.8,149.171.126.2,0.0011220000000000002,132,164,31,29,0,0,470588.2188,584670.1875,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927416,1421927416,0.018000000000000002,0.013999999999999999,0.0,0.0,0.0,0,0,0,0,0,8,3,1,2,2,1,1,1
59.166.0.9,149.171.126.6,0.001141,146,178,31,29,0,0,511831.75,624014.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927416,1421927416,0.017,0.015,0.0,0.0,0.0,0,0,0,0,0,5,7,1,1,1,1,1,1
59.166.0.0,149.171.126.1,0.001164,146,178,31,29,0,0,501718.2188,611683.8125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927416,1421927416,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0,0,0,0,0,3,8,2,1,1,1,1,1
59.166.0.5,149.171.126.9,0.001127,132,164,31,29,0,0,468500.4688,582076.3125,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927416,1421927416,0.017,0.015,0.0,0.0,0.0,0,0,0,0,0,6,4,3,1,1,1,1,1
59.166.0.7,149.171.126.4,0.001073,132,164,31,29,0,0,492078.2813,611370.0,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927416,1421927416,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,6,7,1,1,1,1,1,1
59.166.0.8,149.171.126.9,0.001196,146,178,31,29,0,0,488294.3125,595317.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927416,1421927416,0.017,0.015,0.0,0.0,0.0,0,0,0,0,0,8,4,3,2,2,1,1,1
59.166.0.1,149.171.126.1,0.001101,132,164,31,29,0,0,479564.0313,595822.0,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927416,1421927416,0.017,0.013000000000000001,0.0,0.0,0.0,0,0,0,0,0,6,8,2,1,1,1,1,1
59.166.0.7,149.171.126.6,0.001058,146,178,31,29,0,0,551984.875,672967.875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927417,1421927417,0.017,0.013000000000000001,0.0,0.0,0.0,0,0,0,0,0,6,7,1,2,2,1,1,1
59.166.0.7,149.171.126.8,0.0011,132,164,31,29,0,0,480000.0,596363.625,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927417,1421927417,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0,0,0,0,0,6,6,3,2,2,1,1,1
59.166.0.8,149.171.126.0,0.001126,146,178,31,29,0,0,518650.0938,632326.8125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927417,1421927417,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,8,9,1,1,1,1,1,1
59.166.0.4,149.171.126.8,0.001017,146,178,31,29,0,0,574238.0,700098.375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927417,1421927417,0.011000000000000001,0.012,0.0,0.0,0.0,0,0,0,0,0,5,6,3,2,2,1,1,1
59.166.0.4,149.171.126.7,0.001094,132,164,31,29,0,0,482632.5625,599634.375,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927417,1421927417,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0,5,8,1,2,2,1,1,1
59.166.0.0,149.171.126.8,0.001092,132,164,31,29,0,0,483516.4688,600732.5625,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927417,1421927417,0.017,0.012,0.0,0.0,0.0,0,0,0,0,0,3,6,3,1,1,1,1,1
59.166.0.3,149.171.126.1,0.001082,132,164,31,29,0,0,487985.2188,606284.6875,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927417,1421927417,0.017,0.012,0.0,0.0,0.0,0,0,0,0,0,7,8,1,1,1,1,1,1
175.45.176.2,149.171.126.16,0.17519,8168,268,254,252,4,1,346366.8125,10228.89453,14,6,255,255,2505143795,3592239707,583,45,0,0,774.788316,47.765387,1421927417,1421927417,11.837692,33.287,0.054877999999999996,0.008744,0.046133999999999994,0,1,0,0,0,1,1,1,1,1,1,1,2
175.45.176.2,149.171.126.10,0.1906,844,268,254,252,2,1,31899.26758,9401.888672,10,6,255,255,3006332195,1452987536,84,45,1,0,996.6324070000001,59.532129000000005,1421927418,1421927418,18.573778,36.845602,0.050675,0.006354,0.044321,0,1,1,0,0,3,1,1,1,1,1,1,2
59.166.0.2,149.171.126.4,0.0010890000000000001,132,164,31,29,0,0,484848.4688,602387.5,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927418,1421927418,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0,7,7,1,4,2,1,1,1
59.166.0.8,149.171.126.1,0.001126,132,164,31,29,0,0,468916.5313,582593.25,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927418,1421927418,0.017,0.012,0.0,0.0,0.0,0,0,0,0,0,8,8,3,1,1,1,1,1
59.166.0.2,149.171.126.1,0.001859,528,304,31,29,0,0,1704142.0,981172.6875,4,4,0,0,0,0,132,76,0,0,0.662323,0.33729499999999996,1421927418,1421927418,0.475333,0.244,0.0,0.0,0.0,0,0,0,0,0,5,3,3,4,1,1,2,1
59.166.0.1,149.171.126.9,0.001152,132,164,31,29,0,0,458333.3125,569444.4375,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927418,1421927418,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0,6,4,1,1,1,1,1,1
59.166.0.2,149.171.126.1,0.0049960000000000004,568,312,31,29,0,0,682145.75,374699.7813,4,4,0,0,0,0,142,78,0,0,1.8387189999999998,1.588406,1421927418,1421927418,1.312667,1.137667,0.0,0.0,0.0,0,0,0,0,0,5,3,3,4,1,1,2,1
59.166.0.2,149.171.126.5,0.001044,146,178,31,29,0,0,559386.9375,681992.3125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927418,1421927418,0.018000000000000002,0.011000000000000001,0.0,0.0,0.0,0,0,0,0,0,7,9,1,4,2,1,1,1
59.166.0.3,149.171.126.3,0.0010890000000000001,132,164,31,29,0,0,484848.4688,602387.5,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927418,1421927418,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0,0,0,0,0,7,4,1,1,1,1,1,1
59.166.0.4,149.171.126.6,0.0011220000000000002,146,178,31,29,0,0,520499.0938,634581.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927418,1421927418,0.017,0.012,0.0,0.0,0.0,0,0,0,0,0,5,7,1,1,1,1,1,1
59.166.0.6,149.171.126.2,0.001201,130,162,31,29,0,0,432972.5313,539550.375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421927418,1421927418,0.019,0.016,0.0,0.0,0.0,0,0,0,0,0,12,3,1,1,1,1,1,1
